X,Y,F_CODE_BDQA,NOM_STATION,ZAS,COMMUNE,CODE_INSEE,X_WGS84,Y_WGS84,ENVIRONNEMENT,INFLUENCE,NOX,O3,PM10,PM25,BENZENE,METAUX,HAP,SO2,H2S,CO,SPEC_PM,METAUX_LOURDS,BAP_HAP,SUBS_EMEP_MERA,PREC_O3,PM25_IEM,PESTICIDES,TYPE_NOX,TYPE_O3,TYPE_PM10,TYPE_PM25,TYPE_BENZENE,TYPE_METAUX,TYPE_HAP,TYPE_SO2,TYPE_H2S,TYPE_CO,REPORTING_NOX,REPORTING_O3,REPORTING_PM10,REPORTING_PM25,REPORTING_BENZENE,REPORTING_METAUX,REPORTING_HAP,REPORTING_SO2,REPORTING_H2S,REPORTING_CO,ObjectId
1.821396947,43.44175891,50031,Belesta en Lauragais Rural,ZR,BELESTA-EN-LAURAGAIS,31060,1.821396947,43.44175891,rural regional,fond,,PREVAIR,,,,,,,,,,,,,,,X,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,30
-0.040493309,43.09624528,50042,Lourdes Urbain,ZR,LOURDES,65286,-0.040493309,43.09624528,urbain,fond,X,PREVAIR,PREVAIR,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,,EUROPE,EUROPE,EUROPE,,,,,,,,31
1.595487893,43.80318072,50047,Bessières-ECONOTRE Industriel,ZR,BESSIERES,31066,1.595487893,43.80318072,rural proche zone urb,industriel,,,PREVAIR,,,X,,,,,,,,,,,,,,Mesures indicatives,,,Mesures indicatives,,,,,,,,,,,,,,,32
0.062463284,43.23035205,50052,Tarbes-Dupuy Urbain,ZR,TARBES,65440,0.062463284,43.23035205,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,X,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,Mesures Fixes,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,33
2.230208516,43.61043594,50053,Castres Urbain,ZR,CASTRES,81065,2.230208516,43.61043594,urbain,fond,X,PREVAIR,PREVAIR,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,,EUROPE,EUROPE,EUROPE,,,,,,,,34
1.375305225,44.01285657,50060,Montauban - Ramierou Urbain,ZR,MONTAUBAN,82121,1.375305225,44.01285657,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,35
4.08838,43.6758,50206,Lunel-Viel Industriel,ZR,LUNEL-VIEL,34146,4.08838,43.6758,periurbain,industriel,X,,PREVAIR,PREVAIR,,X,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,,Mesures indicatives,,,,,,,,,,,,,,,36
3.18878,43.4068,50209,Biterrois-Narbonnais Périurbain,ZR,CORNEILHAN,34084,3.18878,43.4068,rural proche zone urb,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,37
3.50484,43.2875,50210,Agathois-Piscénois Périurbain,ZR,AGDE,34003,3.50484,43.2875,periurbain,fond,X,PREVAIR,,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,,,,,,,,,EUROPE,EUROPE,,,,,,,,,38
4.67958,43.9426,50216,Saze Rural,ZR,SAZE,30315,4.67958,43.9426,rural proche zone urb,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,39
2.570704222,44.35699225,50815,Rodez Urbain,ZR,RODEZ,12202,2.570704222,44.35699225,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,40
